,RACE2,Art,Business,Healthcare,Maintenance,Military,Production,Sales,Science,Services,Transport,% STEM
0,Asian-Indian,9.10%,22.11%,10.41%,1.44%,0.05%,2.80%,15.69%,27.39%,7.34%,3.66%,37.80%
1,Bangladeshi,10.61%,12.86%,5.57%,1.18%,nan%,3.00%,26.69%,13.18%,15.01%,11.90%,18.76%
2,Bhutanese,3.16%,5.26%,2.11%,4.21%,nan%,22.11%,9.47%,2.11%,33.68%,17.89%,4.21%
3,Burmese,6.23%,5.92%,4.21%,4.36%,nan%,25.55%,12.62%,5.61%,22.59%,12.93%,9.81%
4,Cambodian,5.62%,9.68%,4.45%,5.46%,0.39%,18.66%,19.20%,7.03%,22.09%,7.42%,11.48%
5,Chinese,12.11%,19.86%,6.25%,2.44%,0.07%,3.21%,18.78%,17.83%,15.99%,3.46%,24.08%
6,Filipino,7.15%,12.62%,17.19%,3.37%,0.53%,5.49%,20.41%,7.50%,20.48%,5.26%,24.69%
7,Hmong,7.03%,11.07%,4.68%,5.01%,0.16%,18.17%,21.73%,6.46%,17.61%,8.08%,11.15%
8,Indonesian,9.33%,17.70%,7.18%,1.91%,0.24%,4.31%,21.29%,9.57%,21.29%,7.18%,16.75%
9,Japanese,15.54%,23.04%,6.52%,3.43%,0.15%,2.38%,23.66%,9.67%,11.81%,3.81%,16.18%
10,Korean,15.32%,20.25%,9.27%,2.55%,0.41%,4.13%,21.61%,9.80%,13.56%,3.10%,19.08%
11,Laotian,4.88%,8.88%,4.39%,5.17%,nan%,21.56%,20.39%,6.24%,19.32%,9.17%,10.63%
12,Malaysian,13.33%,24.17%,7.50%,1.67%,nan%,2.50%,23.33%,11.67%,10.00%,5.83%,19.17%
13,Mongolian,8.08%,16.16%,4.04%,7.07%,nan%,3.03%,19.19%,8.08%,28.28%,6.06%,12.12%
14,Nepalese,7.71%,7.58%,7.30%,2.48%,0.14%,8.13%,19.97%,13.22%,20.80%,12.67%,20.52%
15,Other-Asian,14.06%,15.07%,7.20%,3.60%,0.11%,6.64%,15.97%,12.04%,18.56%,6.75%,19.24%
16,Pakistani,9.98%,18.80%,8.65%,2.26%,0.09%,3.33%,24.04%,13.53%,10.47%,8.87%,22.17%
17,Sri-Lankan,20.67%,19.27%,8.10%,1.12%,nan%,1.68%,15.92%,15.92%,11.73%,5.59%,24.02%
18,Taiwanese,18.01%,21.94%,9.05%,1.01%,0.17%,0.84%,14.49%,25.04%,7.96%,1.51%,34.09%
19,Thai,7.94%,15.55%,7.11%,2.98%,0.33%,5.54%,17.37%,7.28%,30.85%,5.05%,14.39%
20,Vietnamese,5.99%,11.63%,7.02%,4.80%,0.33%,11.60%,15.65%,10.37%,28.19%,4.42%,17.39%
0,American Indian,9.21%,10.84%,3.78%,12.70%,0.24%,6.24%,19.87%,2.67%,25.72%,8.74%,6.45%
1,Asian,10.10%,17.71%,9.47%,2.78%,0.22%,5.20%,18.67%,15.44%,15.97%,4.46%,24.90%
2,Black,9.91%,10.64%,5.61%,5.50%,0.39%,6.61%,21.58%,3.22%,24.49%,12.06%,8.82%
3,Hispanic,8.19%,10.00%,3.33%,13.72%,0.37%,7.15%,20.88%,3.14%,23.63%,9.60%,6.47%
4,Native Alaskan,10.23%,9.95%,2.72%,14.06%,0.28%,4.98%,20.23%,2.49%,24.70%,10.37%,5.21%
5,White,12.78%,17.66%,6.41%,8.56%,0.31%,5.35%,22.17%,5.99%,14.04%,6.74%,12.40%
