,RACE2,Born in US,Before 1950,1950 - 1959,1960 - 1969,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 or later,% Immigrated
0,Asian-Indian,29.66%,0.02%,0.13%,1.11%,4.44%,8.05%,13.51%,17.97%,25.10%,70.34%
1,Bangladeshi,27.46%,0.00%,0.06%,0.45%,2.18%,4.91%,15.85%,20.31%,28.79%,72.54%
2,Bhutanese,16.67%,0.00%,0.00%,0.54%,0.54%,0.00%,2.15%,37.10%,43.01%,83.33%
3,Burmese,22.29%,0.00%,0.00%,0.24%,1.96%,2.83%,7.30%,25.67%,39.72%,77.71%
4,Cambodian,41.67%,0.00%,0.10%,0.14%,4.69%,30.17%,6.75%,8.81%,7.66%,58.33%
5,Chinese,29.98%,0.21%,0.53%,2.15%,5.88%,11.82%,14.24%,15.20%,20.00%,70.02%
6,Filipino,28.97%,0.12%,0.59%,2.99%,8.88%,13.23%,13.68%,17.43%,14.11%,71.03%
7,Hmong,65.93%,0.00%,0.04%,0.37%,5.21%,12.20%,8.87%,5.25%,2.12%,34.07%
8,Indonesian,21.76%,0.00%,1.23%,4.17%,3.24%,6.94%,17.13%,24.23%,21.30%,78.24%
9,Japanese,56.57%,0.37%,2.52%,3.63%,4.74%,5.40%,6.77%,6.37%,13.64%,43.43%
10,Korean,28.15%,0.01%,0.35%,2.11%,12.22%,16.71%,13.57%,15.17%,11.69%,71.85%
11,Laotian,40.34%,0.00%,0.06%,0.25%,9.84%,33.46%,8.43%,5.17%,2.46%,59.66%
12,Malaysian,17.58%,0.00%,0.00%,0.55%,1.10%,10.44%,14.29%,17.58%,38.46%,82.42%
13,Mongolian,22.37%,0.00%,1.97%,0.00%,0.66%,2.63%,10.53%,32.89%,28.95%,77.63%
14,Nepalese,17.13%,0.00%,0.00%,0.08%,0.66%,1.23%,4.84%,31.39%,44.67%,82.87%
15,Other-Asian,45.12%,0.00%,0.19%,0.75%,3.86%,6.97%,10.08%,13.50%,19.54%,54.88%
16,Pakistani,32.70%,0.02%,0.07%,0.56%,3.89%,8.59%,15.32%,19.63%,19.21%,67.30%
17,Sri-Lankan,23.12%,0.00%,0.00%,0.55%,4.59%,8.07%,10.09%,23.30%,30.28%,76.88%
18,Taiwanese,32.10%,0.00%,0.06%,2.43%,9.05%,14.84%,14.95%,12.96%,13.62%,67.90%
19,Thai,19.20%,0.00%,0.15%,3.19%,16.11%,10.96%,10.50%,19.15%,20.74%,80.80%
20,Vietnamese,31.80%,0.08%,0.09%,0.47%,9.96%,14.47%,18.89%,11.97%,12.26%,68.20%
0,American Indian,98.91%,0.02%,0.11%,0.10%,0.11%,0.21%,0.20%,0.17%,0.19%,1.09%
1,Asian,31.64%,0.10%,0.43%,1.79%,6.92%,11.67%,13.66%,15.58%,18.21%,68.36%
2,Black,90.02%,0.02%,0.06%,0.40%,0.87%,1.49%,1.86%,2.57%,2.72%,9.98%
3,Hispanic,63.18%,0.19%,0.72%,2.12%,3.62%,6.17%,8.18%,9.25%,6.57%,36.82%
4,Native Alaskan,98.08%,0.06%,0.04%,0.06%,0.13%,0.37%,0.35%,0.56%,0.35%,1.92%
5,White,95.57%,0.12%,0.39%,0.51%,0.46%,0.51%,0.82%,0.77%,0.85%,4.43%
