,RACE,count,mean,median,RACE2
0,Asian,14270,96772.97827610372,88000.0,Asian-Indian
1,Asian,485,65299.58762886598,46000.0,Bangladeshi
2,Asian,62,35908.06451612903,29500.0,Bhutanese
3,Asian,394,46418.27411167513,31200.0,Burmese
4,Asian,785,48945.987261146496,40000.0,Cambodian
5,Asian,14458,83207.08950062249,69000.0,Chinese
6,Asian,677,96793.0576070901,80000.0,Taiwanese
7,Asian,11275,62504.10643015521,50000.0,Filipino
8,Asian,732,45429.098360655735,40000.0,Hmong
9,Asian,225,63310.22222222222,53000.0,Indonesian
10,Asian,2558,79141.16497263487,65500.0,Japanese
11,Asian,4768,76766.90436241611,60000.0,Korean
12,Asian,659,48941.72989377845,40000.0,Laotian
13,Asian,63,89263.49206349206,75000.0,Malaysian
14,Asian,47,63310.63829787234,51000.0,Mongolian
15,Asian,428,53855.3738317757,40000.0,Nepalese
16,Asian,1195,75950.04184100419,60000.0,Pakistani
17,Asian,210,79060.95238095238,64500.0,Sri-Lankan
18,Asian,629,58757.869634340226,50000.0,Thai
19,Asian,5825,61522.23175965665,48000.0,Vietnamese
20,Asian,523,70688.52772466539,50000.0,Other-Asian
0,American Indian,5970,45314.42211055276,38000.0,American Indian
1,Asian,60268,77393.58531890887,62000.0,Asian
2,Black,86948,49061.49422643419,40000.0,Black
3,Hispanic,143392,47189.798594063825,38000.0,Hispanic
4,Native Alaskan,858,47705.47785547785,40000.0,Native Alaskan
5,White,711992,65601.83204305667,52000.0,White
